,No,구분,Question,Numbers,Equation,Answer,group_nums,Grade,Type,Body,Ques_Statement
311,73,train,은지는 다음 주에 생일을 축하 할 예정이어서 친구들은 그녀에게 깜짝 생일 파티를 열기로 결정했습니다. 은지의 가장 친한 친구가 파티를 주최합니다. 그녀는 모두를 위한 피자를 만들 계획이다. 페퍼로니 number0 개 살라미 number1 개와 베이컨 number2 개를 고기 재료로 샀다면 총 몇 개를 사 셨나요?,15 10 30,+ + number0 number1 number2,55.0,"[65, 2, 66, 67, 41, 42, 43, 45, 46, 47, 50, 51, 52, 20, 26]",3,Sum,annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party . jessica annie 's best friend is hosting the party . she plans on making pizza for everyone . if she bought number0 pieces of pepperoni number1 pieces of salami and number2 pieces of bacon as meat ingredients,how many pieces of meat did she buy in total ?
312,74,train,은지의 다른 친구는 애피타이저 준비를 맡았습니다. 그는 한입 크기의 치즈 팝 number1 개와 치킨 너겟 number2 개를 스틱으로 된 number0 개의 핫도그를 가져 오기로 결정했습니다. 윤기가 전체 몇 개를 가져 왔나요?,30 20 40,+ + number0 number1 number2,90.0,"[3, 41, 42, 43, 16, 17, 18, 20, 21, 22, 27, 28, 29]",3,Sum,andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .,how many portions of appetizers did andrew bring in all ?
313,75,train,은지의 어머니도 깜짝파티의 일부가 되어 달라는 요청을 받았습니다. 그녀는 음료를 담당하는 임무를 받았습니다. 그녀는 오렌지 주스 number0 잔 포도 주스 number1 잔과 사과 주스 number2 잔을 만들었다. 주스가 몇 잔 있을까요?,25 15 5,+ + number0 number1 number2,45.0,"[32, 33, 1, 37, 38, 39, 7, 49, 50, 51, 26, 27, 28, 31]",3,Sum,annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .,how many glasses of juice would there be ?
314,76,train,"유나의 생일날 모두가 그녀를 놀라게 하기로 했습니다. 만약 지금 유나반에 number0 명의 여학생 , number1 명의 남학생, number2 명의 선생님이 있다면, 생일 파티에 참석 한 사람은 몇 명입니까?",15 20 3,+ + number0 number1 number2,38.0,"[2, 37, 38, 39, 20, 21, 22, 23, 24, 25, 27, 28, 29]",3,Sum,on the actual day of annie 's birthday almost everyone in her class came to surprise her . if annie has number0 girl classmates number1 boy classmates and number2 teachers in her class,how many people attended her birthday party ?
315,77,train,한 무리가 브로드 웨이 거리와 무서운 늑대 인간 거리에 있는 집을 조사하기 위해 나섰습니다. 긴 걸음 후에 그들은 그들의 사탕을 다시 세기로 결정했습니다. 만약 메리가 number0 개의 껌을 가지고 있고 샘이 number1 개의 껌을 가지고 있다면 수는 number2 개의 껌을 가지고 있습니다. 전체 number3 개의 껌을 가지고 있었나요?,5 10 15 3,+ + number0 number1 number2,30.0,"[2, 7, 13, 18, 24, 33, 34, 35, 36, 38, 39, 40, 41, 44, 45, 46, 47, 53, 54, 55, 56, 57]",3,Sum,the group then went on to check out the houses along broadway street and the scary werewolf avenue . after the long walk they decided to count their candy again . if mary has number0 chewing gums sam has number1 chewing gums and sue has number2 chewing gums,how many chewing gums did the number3 have in all ?
316,78,train,친구들은 마을에있는 나머지 집으로 갔다. 그러나 유나는 일찍 집에 가야했다. 그녀는 number0 개의 껌 number1 개의 초콜릿 바와 number2 개의 모듬 과일 사탕으로 구성된 사탕을 얻었습니다. 그녀는 총 몇 개의 사탕을 얻었습니까?,10 15 20,+ + number0 number1 number2,45.0,"[32, 33, 34, 35, 36, 37, 38, 39, 40, 1, 42, 5, 49, 18, 50, 51, 31]",3,Sum,the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies .,how many candies did she get in total ?
317,79,train,남준이와 석진이 민영과 윤기를 떠난 후 은지도 집에 가기로 결정했습니다. 그들은 그들이 받은 간식은 총 number0 가지였습다. 그들은 number1 개의 츄잉껌 number2 개의 초콜릿 바 그리고 다른 number3 개의 다른 맛의 사탕으로 분류 할 수 있었습니다. 민영과 윤기와 은지는 총 몇 개의 간식을 받았습니까?,3 60 55 40,+ + number1 number2 number3,155.0,"[35, 36, 37, 38, 39, 40, 41, 4, 43, 44, 45, 58, 24, 25, 26, 59, 60]",3,Sum,after sam and bob left mary john and sue decided to go home as well . they counted the total amount of treats that the number0 of them got . they were able to sort out number1 chewing gums number2 chocolate bars and another number3 candies of different flavors .,how many treats did mary john and sue have in total ?
318,80,train,"지금은 부활절 시간이고 이스터 빌 인근의 아이들은 매년 부활절 달걀 사냥에 대해 매우 신이났습니다. 부모들은 많은 다른 장소에 달걀을 숨기기로 결정했습니다. 그들은 클럽 하우스 주변에 number0 개의 달걀을 숨겼습니다. 마을 공원 주변에 number1 개의 달걀을, 시청 정원에 number2 개의 달걀을 숨겼습니다. 총 몇 개의 달걀이 숨겨져 있습니까?",55 33 22,+ + number0 number1 number2,110.0,"[64, 1, 65, 66, 5, 38, 39, 40, 44, 45, 46, 51, 52, 53]",3,Sum,it is easter time and the kids in the neighborhood of easterville are very excited about the annual easter egg hunt . the parents have decided to hide the eggs in a lot of different places . they hid number0 eggs around the club house number1 eggs around the village park and number2 eggs in the town hall garden .,how many eggs were hidden in total ?
319,81,train,"부활절 달걀 사냥꾼 number0 등인 윤기는 클럽 하우스 주변에서 number1 개의 달걀을 발견했고 공원 주변에서 number2 개의 달걀을, 시청 정원에서 number3 개의 달걀을 발견했습니다. 윤기는 몇 개의 달걀을 찾았습니까?",1 12 5 3,+ + number1 number2 number3,20.0,"[0, 1, 2, 32, 33, 5, 34, 8, 9, 10, 14, 15, 16, 20, 21, 22]",3,Sum,joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden .,how many eggs did joe find ?
320,82,train,마을 주변의 나머지 아이들은 클럽 하우스 주변에서 number0 개의 달걀을 공원 주변에서 number1 개 달걀과 시청 정원에서 number2 개의 달걀을 얻었습니다. 우리가 가지고 있는 달걀을 모두 더하면 얼마나 많을까요?,13 9 8,+ + number0 number2 number1,30.0,"[2, 7, 8, 9, 10, 41, 42, 43, 14, 15, 16, 20, 21, 22]",3,Sum,the rest of the kids around town got number0 more eggs around the club house number1 eggs around the park and number2 eggs in the town hall garden . if we add all the eggs that they got,how many eggs would that be ?
321,83,train,"모든 참가자가 클럽 하우스에서 총 number0 개의 달걀을 공원에서 number1 달걀 그리고 시청에서 number2 달걀을 발견했다면, 그날 발견된 부활절 달걀은 몇 개입니까?",40 25 15,+ + number0 number1 number2,80.0,"[32, 33, 5, 7, 8, 9, 13, 14, 15, 19, 20, 21, 27, 31]",3,Sum,if the all the participants found a total number0 eggs from the club house number1 eggs from the park and number2 eggs from the town hall,how many easter eggs were found that day ?
322,84,train,유정이의 수업은 과학 견학을 위해 지구상에서 가장 큰 동물과 동물원에 갈 것입니다. 동물원에는 다양한 야생 동물이 포획되어 있습니다. 그들의 첫 번째 목적지는 새장이었습니다. 새장에는 그날 쇼에 number0 종의 독수리가 있습니다. 그들은 number1 마리의 대머리 독수리 number2 마리의 하피 독수리와 number3 마리의 왕관 독수리가 있습니다. 그날 얼마나 많은 독수리가 전시되어 있습니까?,3 20 15 30,+ + number1 number2 number3,65.0,"[1, 2, 5, 10, 38, 39, 40, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 66, 67, 68]",3,Sum,penny 's class is going to animaland the largest zoo on earth for their science field trip . the zoo has a variety of wild animals in captivity . their first destination was the aviary . the aviary has number0 species of eagles on show that day . they have number1 bald eagles number2 harpy eagles and number3 crowned eagles .,how many eagles are on display that day ?
323,85,train,동물원의 사육장 이후 늪지대 차례였다. 유정이는 총 number0 마리의 나무 개구리 number1 마리의 독 개구리와 number2 마리의 나무 개구리를 세었다. 유정이는 얼마나 많은 개구리를 셀 수 있었습니까?,55 10 13,+ + number0 number1 number2,78.0,"[32, 1, 33, 5, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 31]",3,Sum,after the aviary was the zoo 's swamp area . penny counted a total of number0 tree frogs number1 poison frogs and number2 wood frogs .,how many frogs was penny able to count ?
324,86,train,개구리를 제외하고 늪지대에는 위험한 동물이 몇 마리 있습니다. 유정이의 선생님은 number0 마리의 아프리카 악어 number1 마리의 아메리카 악어와 number2 마리의 독사를 지적했습니다. 교사는 총 몇 마리의 위험한 동물을 지적 했습니까?,22 23 5,+ + number0 number1 number2,50.0,"[3, 36, 37, 38, 19, 20, 21, 22, 23, 24, 25, 26]",3,Sum,aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers .,how many dangerous animals did the teacher point out in total ?
325,87,train,그 다음은 수백 종의 곤충이 서식하는 곤충관 이었습니다. 나비와 개미를 좋아하는 유정이는 다른 종의 사진을 찍었습니다. 그녀는 number0 종의 나비 number1 종의 개미와 number2 종의 다른 곤충을 찍을 수있었습니다. 페니는 몇 종의 곤충을 찍었습니까?,60 15 20,+ + number0 number1 number2,95.0,"[32, 33, 1, 35, 36, 37, 4, 7, 40, 41, 42, 11, 10, 52, 53, 54, 31]",3,Sum,next in their itinerary was the insectarium home to hundreds of insect species . penny who likes butterflies and ants took pictures of the different species . she was able to capture number0 species of butterflies number1 species of ants and number2 species of other insects .,how many species of insects did penny capture ?
326,88,train,그들의 견학의 마지막 종착지는 수족관이었다. 유정이는 number0 종의 상어 number1 종의 뱀장어와 number2 다른 종의 고래를 식별했습니다. 유정이는 몇 종을 식별 할 수 있었습니까?,35 15 5,+ + number0 number1 number2,55.0,"[32, 1, 33, 34, 5, 11, 12, 13, 15, 16, 17, 20, 21, 22, 23]",3,Sum,last stop in their field trip was the aquarium . penny identified number0 species of sharks number1 species of eels and number2 different species of whales .,how many species was penny able to identify ?
327,89,train,호석이와 그의 친구들은 학교가 자선 기금을 모금 할 수 있도록 재활용 프로젝트를 시작하고 있습니다. 그들은 다른 재료를 수집하고 그로부터 유용한 것을 만드는 임무를 받았습니다. 만약 마커스가 number0 우유 병을 모을 수 있고 정국이 number1 우유 병을 모을 수 있다면 재활용 할 수있는 우유 병은 몇 개입니까?,25 20,+ number1 number0,45.0,"[5, 38, 39, 40, 41, 14, 47, 48, 49, 50, 19, 25, 58, 59, 60]",3,Addition,marcus and his friends are starting a recycling project to help the school raise some money for charity . they were tasked to collect different materials and create useful things from those . if marcus was able to gather number0 milk bottles and john was able to gather number1 milk bottles,how many milk bottles do they have available for recycling ?
328,90,train,신문 수집을 지휘하는 지민이는 이웃으로부터 number0 장의 신문을 얻을 수있었습니다. 그의 여동생 은지가 그를 도왔고 다른 블록에서 number1 장 더 많은 신문을 얻을 수 있었다면 얼마나 많은 신문을 모을 수 있었습니까?,42 23,+ number0 number1,65.0,"[40, 41, 10, 11, 12, 42, 18, 22, 27, 28, 29, 30]",3,Addition,chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another block,how many newspapers were they able to collect together ?
329,91,train,지민이의 재활용 팀의 다른사람들은 그가 은박 포장지를 모으는 걸로 결정했습니다. 그가 마을 쓰레기통 주변에서 number0 개의 포장지를 집어들 수 있고 그의 가장 친한 친구 윤기가 number1 개 수집 할 수 있다면 총 몇 장의 포장지가 모였습니까?,34 15,+ number0 number1,49.0,"[36, 37, 38, 5, 10, 42, 43, 44, 21, 22, 23, 24]",3,Addition,andy another part of the recycling team decided he would gather tin foil wrappers . if he was able to pick up number0 wrappers around the village dumpster and his best friend max was able to collect number1,how many wrappers were gathered in total ?
330,92,train,재료를 수집 한 후 그들은 학교의 재활용 박람회에서 판매 할 재활용 제품을 만들기 시작했습니다. 만약 marcus가 우유 병에서 number0 펜홀더를 만들고 annie가 number1 을 만들 수 있다면 얼마나 많은 펜홀더를 만들었습니까?,26 37,+ number0 number1,63.0,"[32, 33, 34, 2, 37, 38, 39, 18, 19, 20, 21, 22]",3,Addition,after collecting materials they started making recycled products to sell during the school 's recycling fair . if marcus made number0 pen holders from the milk bottles and annie was able to make number1,how many pen holders were made ?
331,93,train,만약 학생들이 number0 개의 재료를 모아서 재활용 물품을 만들 수 있고 교사가 number1 개의 재활용 물품을 만들 수 있다면 그들이 박람회에서 얼마나 많은 재활용 제품을 팔 수있을 것인가?,65 28,+ number0 number1,93.0,"[32, 33, 34, 6, 7, 8, 9, 20, 21, 22]",3,Addition,if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1,how many recycled products will they be able to sell at the fair ?
